Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Number of Calls,
"___getmainargs",0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1,
"___iob_func",0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,323,
"___p__commode",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"___p__fmode",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"___security_init_cookie",0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,1,
"___set_app_type",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"__alloca_probe",0.60,0.60,0.09,0.09,0.00,0.00,0.00,0.00,130,
"__decode_pointer",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"__encode_pointer",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"__onexit",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"__onexit",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"__RTC_Initialize",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"__RTC_Terminate",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"__SEH_epilog4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,
"__SEH_prolog4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,
"__setdefaultprecision",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"__tmainCRTStartup","55,902.07",0.24,2.22,0.00,26.50,0.00,0.09,0.00,1,
"_atexit",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"_exit",0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1,
"_fclose",1.44,1.44,0.00,0.00,0.00,0.00,0.00,0.00,3,
"_fflush",3.47,3.47,0.25,0.25,0.00,0.00,0.01,0.01,322,
"_fopen",0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,3,
"_fread",48.77,48.77,0.00,0.00,0.02,0.02,0.00,0.00,5,
"_freopen",0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,1,
"_fwrite","5,209.20","5,209.20",0.00,0.00,2.47,2.47,0.00,0.00,390,
"_main","55,901.81",0.00,2.22,0.00,26.50,0.00,0.09,0.00,1,
"_mainCRTStartup","55,902.22",0.00,2.22,0.00,26.50,0.00,0.09,0.00,1,
"_malloc",1.14,1.14,0.01,0.01,0.00,0.00,0.00,0.00,384,
"_printf",1.98,1.98,1.89,1.89,0.00,0.00,0.08,0.08,911,
"_sprintf",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"`eh vector constructor iterator'(void *,unsigned int,int,void (*)(void *),void (*)(void *))",0.68,0.00,0.15,0.00,0.00,0.00,0.01,0.00,20,
"`eh vector destructor iterator'(void *,unsigned int,int,void (*)(void *))",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,
"addMacroblockdata(struct macroblockdata *,struct exmacroblockdata const *)",85.81,85.81,85.36,85.36,0.04,0.04,3.61,3.61,"184,171",
"ArrayList<class ArrayList<int> >::operator=(class ArrayList<class ArrayList<int> > const &)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,
"ArrayList<class ArrayList<int> >::push_back(class ArrayList<int> const &)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,
"ArrayList<class ArrayList<int> >::RequireCapacity(int)",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,
"ArrayList<class Pair<int,int> >::operator=(class ArrayList<class Pair<int,int> > const &)",0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,96,
"ArrayList<class Pair<int,int> >::push_back(class Pair<int,int> const &)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27,
"ArrayList<class Pair<int,int> >::RequireCapacity(int)",0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.00,466,
"ArrayList<int>::~ArrayList<int>(void)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,
"ArrayList<int>::ArrayList<int>(void)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14,
"ArrayList<int>::erase(int)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60,
"ArrayList<int>::push_back(int const &)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,
"ArrayList<int>::RequireCapacity(int)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,
"BitstreamData::BitstreamData(class SlidingWindow *,char const *)",0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,
"BitstreamData::BitstreamReader(void *)","50,113.34",0.00,2.55,0.00,23.76,0.00,0.11,0.00,1,
"BitstreamData::LoadNextStream(unsigned char *,int &)",49.55,0.78,0.64,0.64,0.02,0.00,0.03,0.03,200,
