TestClip DecodingThread(s) DecodingTime(ms) DecodingFPS ViewerFPS
dual144 1 265 490.57 245.28
dual288 1 922 141.00 70.50
dual576 1 4187 31.05 15.52
dual720 1 9750 13.33 6.67
golf25 1 672 297.62 37.20
golf25dual 1 156 320.51 160.26
golf623 1 28563 174.49 21.81
race81 1 4062 159.53 19.94
single144 1 78 833.33 833.33
single288 1 313 207.67 207.67
single576 1 1313 49.50 49.50
single720 1 2860 22.73 22.73
dual144 2 141 921.99 460.99
dual288 2 704 184.66 92.33
dual576 2 2531 51.36 25.68
dual720 2 5078 25.60 12.80
golf25 2 359 557.10 69.64
golf25dual 2 78 641.03 320.51
golf623 2 14437 345.22 43.15
race81 2 2093 309.60 38.70
single144 2 63 1031.75 1031.75
single288 2 204 318.63 318.63
single576 2 985 65.99 65.99
single720 2 2141 30.36 30.36
dual144 3 94 1382.98 691.49
dual288 3 328 396.34 198.17
dual576 3 1890 68.78 34.39
dual720 3 4640 28.02 14.01
golf25 3 266 751.88 93.98
golf25dual 3 62 806.45 403.23
golf623 3 11078 449.90 56.24
race81 3 1422 455.70 56.96
single144 3 63 1031.75 1031.75
single288 3 187 347.59 347.59
single576 3 781 83.23 83.23
single720 3 2140 30.37 30.37
dual144 4 78 1666.67 833.33
dual288 4 281 462.63 231.32
dual576 4 2110 61.61 30.81
dual720 4 4969 26.16 13.08
golf25 4 203 985.22 123.15
golf25dual 4 47 1063.83 531.91
golf623 4 10031 496.86 62.11
race81 4 1172 552.90 69.11
single144 4 63 1031.75 1031.75
single288 4 172 377.91 377.91
single576 4 500 130.00 130.00
single720 4 2188 29.71 29.71
